,소재지도로명,위도,경도,시군구코드,업태명,업소명,소재지도로명.1,소재지지번,지도점검일자,처분명,ㅉ,위반일자,처분내용
92,서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),37.4913946,126.92340300000001,3190000.0,치킨,엘바(LBAR),서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),서울특별시 동작구 신대방동 395번지 66호 삼성쉐르빌상가 지하112호,20090401.0,40만원,식품위생법 제26조,20090401.0,40만원
93,서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),37.4856219,126.9804168,3190000.0,치킨,엘바(LBAR),서울특별시 동작구 보라매로5길 43 (신대방동삼성쉐르빌상가 지하112호),서울특별시 동작구 신대방동 395번지 66호 삼성쉐르빌상가 지하112호,20090401.0,40만원,식품위생법 제26조,20090401.0,40만원
94,서울특별시 동작구 동작대로25길 34 (사당동),37.4856219,126.9804168,3190000.0,치킨,차이홍,서울특별시 동작구 동작대로25길 34 (사당동),서울특별시 동작구 사당동 708번지 448호,20120910.0,과태료부과30만원,식품위생법 제40조제3항,20120910.0,과태료부과30만원
95,서울특별시 동작구 동작대로25길 34 (사당동),37.507518100000006,126.9595304,3190000.0,치킨,차이홍,서울특별시 동작구 동작대로25길 34 (사당동),서울특별시 동작구 사당동 708번지 448호,20141110.0,영업신고 사항 직권말소,식품위생법 제37조 및 동법 시행규칙 제47조의2,20141110.0,영업신고 사항 직권말소
96,서울특별시 동작구 흑석로13가길 42 (흑석동2층),37.5077535,126.9595531,3190000.0,치킨,레떼,서울특별시 동작구 흑석로13가길 42 (흑석동2층),서울특별시 동작구 흑석동 190번지 27호 2층,20041014.0,과태료 20만원부과,식품위생법 제78조,20041014.0,과태료 20만원부과
97,서울특별시 동작구 흑석로9길 12 (흑석동),37.4981396,126.9236794,3190000.0,치킨,왕초,서울특별시 동작구 흑석로9길 12 (흑석동),서울특별시 동작구 흑석동 190번지 61호,20050315.0,영업정지,식품위생법 58조,20050315.0,영업정지
98,서울특별시 동작구 여의대방로24길 62 (신대방동),37.4975715,126.92214609999999,3190000.0,치킨,오세요식당,서울특별시 동작구 여의대방로24길 62 (신대방동),서울특별시 동작구 신대방동 361번지 38호,20070412.0,영업소폐쇄,식품위생법 제58조 및 동법시행규칙 제53조,20070529.0,영업소폐쇄
99,서울특별시 동작구 여의대방로22길 40 (신대방동),37.4975715,126.92214609999999,3190000.0,치킨,보라,서울특별시 동작구 여의대방로22길 40 (신대방동),서울특별시 동작구 신대방동 364번지 2호,20060526.0,과징금부과,식품위생법 제58조 및 제65조,20060526.0,과징금부과
100,서울특별시 동작구 여의대방로22길 40 (신대방동),37.511019899999994,126.9399068,3190000.0,치킨,보라,서울특별시 동작구 여의대방로22길 40 (신대방동),서울특별시 동작구 신대방동 364번지 2호,20090122.0,시정명령,식품위생법 제55조,20090122.0,시정명령
101,서울특별시 동작구 장승배기로25길 1 (노량진동),37.5061747,126.9475374,3190000.0,치킨,탄,서울특별시 동작구 장승배기로25길 1 (노량진동),서울특별시 동작구 노량진동 240번지 28호,20140502.0,영업정지,식품위생법 제44조,20140502.0,영업정지
